J034425.72+242341.0  56.1071604  24.3947198   22.7  -48.7 1.1 1.0  8.465 0.018  8.141 0.015  9.109  0.010  9.774  0.048  8.421  0.070  7.588 0.018  7.528 0.040  7.470 0.023 AAA  7.452 0.026  7.470 0.020  7.479 0.020  7.255 0.133 0.9931   7250  125  6.788e+00  1.1e+00
J034439.66+220647.9  56.1652543  22.1132997   18.9  -45.5 1.5 1.6 12.087 0.161 11.098 0.100 10.879  0.004 11.438  0.044 10.589  0.018  9.639 0.020  9.249 0.019  9.127 0.017 AAA  9.045 0.022  9.081 0.019  9.137 0.037    ---   --- 0.9981   5250  125  6.855e-01  1.2e-01
J034440.75+244906.7  56.1698097  24.8185398   17.0  -46.3 1.5 1.5 10.394 0.040  9.913 0.037  9.700  0.019 10.406  0.168  9.606  0.044  8.783 0.021  8.540 0.038  8.513 0.023 AAA  8.443 0.024  8.457 0.022  8.433 0.027  7.572 0.144 0.9988   6000  125  1.759e+00  3.1e-01
J034441.82+222752.5  56.1742511  22.4645697   24.4  -40.7 2.1 2.2 11.694 0.097 11.024 0.090 10.587  0.100 11.096  0.044 10.337  0.014  9.477 0.021  9.140 0.021  9.072 0.020 AAA  8.999 0.023  9.035 0.020  9.124 0.039    ---   --- 0.9607   5500  125  8.099e-01  1.4e-01
J034443.17+255231.8  56.1798756  25.8755129   18.9  -46.4 2.5 2.5 12.465 0.257 11.298 0.119 11.395  0.100 12.148  0.062 11.122  0.058 10.031 0.027  9.669 0.030  9.520 0.020 AAA  9.405 0.024  9.443 0.022  9.333 0.038    ---   --- 0.7860   5000  125  4.614e-01  8.9e-02
J034444.86+204452.8  56.1869035  20.7480067   19.6  -43.5 1.1 1.0  9.132 0.019  8.769 0.017    ---    ---    ---    ---    ---    ---  7.943 0.018  7.788 0.018  7.747 0.016 AAA  7.681 0.025  7.680 0.021  7.723 0.019  8.015 0.207 0.9899   6750  125  4.544e+00  7.5e-01
J034451.24+231608.1  56.2134831  23.2689266   20.4  -42.2 0.9 0.9  9.431 0.022  9.007 0.018    ---    ---    ---    ---    ---    ---  8.184 0.023  8.006 0.024  7.984 0.033 AAA  7.929 0.024  7.942 0.020  7.929 0.021  7.985 0.219 0.9938   6750  125  3.624e+00  5.9e-01
J034453.05+260831.9  56.2210446  26.1422077   26.1  -43.2 2.8 2.9 14.639 0.823 11.354 0.127 12.135  0.100    ---    ---    ---    --- 10.589 0.027 10.027 0.034  9.929 0.018 AAA    ---   ---    ---   ---    ---   ---    ---   --- 0.9659   4750  125  2.378e-01  3.8e-02
J034458.92+220156.8  56.2455019  22.0324536   17.8  -43.0 1.1 1.0 10.046 0.034  9.497 0.028  9.353  0.100 10.229  0.028  9.245  0.049  8.520 0.018  8.349 0.033  8.278 0.019 AAA  8.187 0.022  8.237 0.019  8.232 0.021  8.117 0.255 0.9953   6000  125  2.274e+00  4.0e-01
J034501.66+193333.7  56.2568984  19.5593651   14.3  -46.1 1.2 1.2 10.005 0.031  9.442 0.026  9.293  0.011    ---    ---    ---    ---  8.404 0.021  8.225 0.031  8.152 0.021 AAA  8.086 0.024  8.111 0.020  8.106 0.021  8.014 0.218 0.6260   6250  125  2.610e+00  4.3e-01
J034503.28+235021.8  56.2636563  23.8393948   19.6  -45.6 2.7 3.1 13.757 0.583 11.617 0.159 11.632  0.056 12.383  0.055 11.405  0.035 10.261 0.020  9.835 0.023  9.730 0.018 AAA  9.676 0.023  9.739 0.020  9.401 0.063  8.061 0.290 0.9388   5000  125  3.490e-01  6.8e-02
J034504.01+251528.2  56.2667002  25.2578464   18.0  -43.5 1.6 1.6 11.419 0.076 10.954 0.078 10.462  0.100 11.090  0.030 10.356  0.044  9.435 0.024  9.146 0.033  9.041 0.018 AAA  9.003 0.023  9.032 0.021  8.881 0.034    ---   --- 0.9790   5500  125  8.541e-01  1.5e-01
J034505.28+234209.6  56.2720148  23.7026755   20.3  -44.5 1.0 1.0  9.398 0.022  8.980 0.018  9.238  0.112  9.749  0.192  8.863  0.051  8.205 0.027  8.041 0.018  8.000 0.021 AAA  7.946 0.022  7.970 0.020  7.880 0.029  7.236 0.203 0.9982   6750  125  3.621e+00  6.0e-01
J034506.54+241548.6  56.2772465  24.2635131   20.0  -45.0 1.1 1.0  8.954 0.021  8.552 0.017  9.189  0.153  9.803  0.166  8.676  0.077  7.892 0.023  7.767 0.033  7.738 0.024 AAA  7.682 0.024  7.690 0.020  7.601 0.020  6.609 0.085 0.9973   7000  125  5.039e+00  8.4e-01
J034507.59+215945.5  56.2816300  21.9959775   22.7  -47.0 1.6 1.7 11.941 0.134 11.125 0.100 10.924  0.100 11.639  0.028 10.638  0.022  9.568 0.021  9.146 0.021  9.037 0.019 AAA  8.929 0.023  8.979 0.019  8.902 0.028  8.712 0.374 0.9760   5000  125  6.937e-01  1.3e-01
